Subjects,lag_2,lag_3,lag_5,lag_7
3,0.458333333,0.541666667,0.75,0.875
4,1,1,0.958333333,1
5,0.666666667,0.708333333,0.916666667,0.958333333
9,0.375,0.375,0.833333333,0.875
10,0.041666667,0.083333333,0.375,0.666666667
11,0.583333333,0.666666667,0.916666667,0.833333333
14,0.625,0.75,0.833333333,0.916666667
15,0.791666667,0.75,0.875,0.958333333
16,0.5,0.708333333,0.791666667,0.916666667
18,0.791666667,0.666666667,0.791666667,0.916666667
19,0.041666667,0.291666667,0.708333333,0.791666667
22,0.541666667,0.75,0.791666667,0.791666667
23,0.5,0.291666667,0.666666667,0.958333333
24,0.416666667,0.291666667,0.666666667,0.625
25,0.708333333,0.833333333,0.75,0.875
26,0.333333333,0.416666667,0.791666667,0.875
28,0.875,0.666666667,0.916666667,0.833333333
29,0.666666667,0.583333333,0.625,0.833333333
31,0.458333333,0.541666667,0.708333333,0.75
37,0.5,0.666666667,0.958333333,0.916666667
38,0.208333333,0.5,0.75,0.916666667
40,0.375,0.5,0.541666667,0.791666667
43,0.416666667,0.666666667,0.916666667,1
44,0.5,0.708333333,0.875,0.916666667
45,0.791666667,1,0.875,1
46,0.458333333,0.875,1,1
47,0.916666667,0.833333333,0.875,0.958333333
48,0.958333333,0.916666667,0.958333333,1
49,0.583333333,0.708333333,0.875,0.916666667
50,0.625,0.458333333,0.875,0.833333333
52,0.708333333,0.875,0.916666667,0.833333333
55,0.416666667,0.458333333,0.666666667,0.791666667
56,0.583333333,0.75,0.75,0.791666667
57,0.791666667,0.75,1,0.833333333
59,0.791666667,0.833333333,0.958333333,0.833333333
61,0.458333333,0.333333333,0.291666667,0.5
62,0.791666667,0.708333333,0.916666667,0.916666667
63,0.541666667,0.75,0.875,1
64,0.75,0.916666667,0.958333333,1
65,0.083333333,0.083333333,0.375,0.708333333
66,0.583333333,0.625,0.958333333,0.875
67,0.791666667,0.875,1,0.958333333
68,0.416666667,0.708333333,0.75,0.791666667
69,0.708333333,0.666666667,0.625,0.875
71,0.5,0.708333333,0.916666667,0.75
72,0.5,0.708333333,0.833333333,0.916666667
73,0.583333333,0.916666667,0.875,0.958333333
76,0.916666667,0.833333333,1,0.958333333
77,0.541666667,0.416666667,0.916666667,1
78,0.541666667,0.541666667,0.791666667,0.875
81,0.791666667,0.625,0.916666667,0.916666667
82,0.75,0.666666667,0.875,0.916666667
83,0.208333333,0.375,0.833333333,0.916666667
84,0.291666667,0.416666667,0.916666667,0.958333333
85,0.708333333,0.916666667,0.833333333,0.958333333
86,0.75,0.625,1,0.875
87,0.666666667,0.708333333,0.666666667,0.916666667
88,0.333333333,0.708333333,0.708333333,0.916666667
89,0.541666667,0.541666667,0.916666667,0.958333333
91,0.208333333,0.125,0.375,0.875
92,0.541666667,0.625,0.75,0.833333333
93,0.583333333,0.625,0.833333333,0.833333333
94,0.75,0.875,0.875,0.958333333
95,0.708333333,0.583333333,0.833333333,0.958333333
96,0.5,0.333333333,0.708333333,0.833333333
97,0.666666667,0.791666667,0.875,1
99,0.291666667,0.833333333,0.916666667,0.875
100,0.208333333,0.041666667,0.25,0.666666667
102,0.541666667,0.583333333,0.875,0.833333333
103,0.375,0.75,0.875,0.833333333
105,0.208333333,0.541666667,0.75,0.958333333
106,0.291666667,0.375,0.833333333,0.916666667
109,0.75,0.791666667,0.916666667,0.875
110,0.791666667,0.875,0.833333333,1
111,0.625,0.75,0.791666667,0.875
112,0.625,0.833333333,0.875,0.958333333
113,0.583333333,0.875,1,0.875
114,0.291666667,0.416666667,0.625,0.875
115,0.291666667,0.083333333,0.5,0.666666667
116,0.458333333,0.583333333,0.916666667,0.791666667
118,0.791666667,0.958333333,0.958333333,1
119,0.916666667,0.958333333,0.958333333,1
120,0.666666667,0.541666667,0.791666667,1
121,0.833333333,0.958333333,0.916666667,1
122,0.291666667,0.416666667,0.666666667,0.833333333
123,0.458333333,0.916666667,0.875,0.916666667
124,0.458333333,0.375,0.875,0.875
131,0.625,0.708333333,0.958333333,1
132,0.75,0.666666667,0.708333333,0.791666667
133,0.833333333,0.958333333,1,1
134,0.625,0.75,0.875,1
135,0.791666667,0.75,0.916666667,0.958333333
136,0.541666667,0.541666667,0.75,0.916666667
137,0.583333333,0.875,1,1
138,0.666666667,0.833333333,0.916666667,0.75
140,0.541666667,0.666666667,0.833333333,1
141,0.416666667,0.666666667,0.791666667,0.916666667
142,0.583333333,0.625,0.958333333,0.875
143,0.625,0.833333333,0.916666667,0.958333333
