Subjects,dual_task,single_auditory,single_visual
3,1.043558824,0.777413043,0.73287234
4,0.692068182,0.616225,0.513586957
5,1.362193548,1.018085106,1.112468085
9,1.165292683,0.793113636,0.815212766
10,1.131608696,0.834510638,0.668276596
11,0.936860465,0.821891304,0.616145833
14,1.097071429,0.688891304,0.849702128
15,1.060906977,0.9974,0.784914894
16,1.094825,0.765744186,0.667361702
18,1.099404762,0.912652174,0.838404255
19,1.389538462,0.848369565,0.963533333
22,0.988826087,0.613916667,0.575711111
23,1.029682927,0.821261905,0.738711111
24,1.364222222,0.951404255,0.824869565
25,0.835555556,0.655391304,0.609956522
26,1.00172093,0.733787234,0.80412766
28,0.818904762,0.708911111,0.619875
29,1.071771429,0.840770833,0.779916667
31,1.16084,0.878674419,0.853422222
37,1.1289,0.788425532,0.916272727
38,1.18195122,0.956636364,0.864404255
40,1.359477273,1.091125,0.913702128
43,1.035707317,0.770111111,0.706659091
44,1.152568182,0.684326087,0.760377778
45,0.847042553,0.628229167,0.657875
46,1.09790625,0.89952381,0.7875
47,0.938255319,0.737416667,0.7548125
48,1.129095238,0.741021277,0.851291667
49,0.925566667,0.809666667,0.810847826
50,1.030166667,0.826954545,0.762613636
52,1.03785,0.90875,0.759093023
55,1.161886364,0.850875,0.895446809
56,1.079767442,0.795395349,0.674208333
57,1.00637931,0.776543478,0.679479167
59,0.958682927,0.706434783,0.741808511
61,1.158690476,0.956619048,0.924888889
62,1.068452381,0.792888889,0.735282609
63,1.039166667,0.729229167,0.770833333
64,0.937371429,0.724326087,0.7166875
65,1.069897436,0.771425532,0.780319149
66,1.080934783,0.792777778,0.777434783
67,0.822108696,0.6776875,0.605875
68,1.114857143,0.789340426,0.652755556
69,0.931357143,0.83602381,0.639234043
71,0.754425,0.684930233,0.577166667
72,1.031928571,0.770181818,0.769586957
73,1.0192,0.725382979,0.7731875
76,0.784311111,0.685638298,0.640276596
77,1.044238095,0.8248125,0.783770833
78,1.005697674,0.872354167,0.619733333
81,0.91365625,0.722386364,0.744948718
82,0.963666667,0.844382979,0.766191489
83,1.050862069,0.798130435,0.7695
84,0.834545455,0.729136364,0.576234043
85,0.615954545,0.477911111,0.500088889
86,1.102342857,0.857866667,0.693166667
87,1.160044444,0.758088889,0.8794
88,1.143666667,0.786886364,0.739444444
89,1.077,0.816617021,0.669
91,1.146114286,1.020511628,0.802826087
92,0.726512195,0.642085106,0.560382979
93,1.258892857,0.863076923,0.995102564
94,1.05597619,0.986217391,0.779893617
95,1.040948718,0.757977273,0.636444444
96,0.919578947,0.797478261,0.688255319
97,1.165885714,0.937825,0.917179487
99,0.997541667,0.735911111,0.661479167
100,0.889783784,0.82025,0.670979167
102,1.077825,0.702895833,0.654162791
